Survived	Pclass	Sex	Age	Siblings/Spouses Aboard	Parents/Children Aboard	Fare	rand-feature
1	1	0	19	0	0	30	1.093245365
0	3	1	70.5	0	0	7.75	0.791788433
1	2	0	28	0	0	13	0.199881252
0	3	1	36	0	0	6.95	0.270457619
0	3	1	19	0	0	8.05	0.722858823
0	2	1	41	0	0	0	2.001091554
1	3	1	9	1	1	15.9	0.590253154
0	3	1	22	0	0	7.75	2.400197103
0	2	1	47	0	0	15	1.085415623
0	1	1	61	0	0	33.5	0.825435092
0	1	1	71	0	0	34.6542	2.628792912
0	2	1	39	0	0	15.05	0.34647837
1	1	0	52	1	0	78.2667	0.771513263
0	3	1	30	0	0	8.05	1.957792426
1	3	0	16	0	0	7.8292	0.654546447
1	1	0	42	0	0	227.525	0.076735657
0	3	1	24	0	0	8.05	1.508045188
0	2	1	51	0	0	12.525	0.658192455
1	2	0	24	2	3	18.75	2.199021907
0	3	1	20	0	0	8.05	2.378352151
0	2	1	24	2	0	73.5	1.540618293
1	1	0	44	0	1	57.9792	2.045594073
0	2	1	23	0	0	10.5	1.760522381
0	3	0	32	0	0	8.05	1.416705264
1	2	0	29	0	0	10.5	0.385174393
0	3	1	24	0	0	7.7958	1.677011229
0	3	1	22	0	0	8.05	0.416777729
0	3	0	8	3	1	25.4667	2.432873492
0	3	1	28	1	0	19.9667	2.234087599
0	3	1	20	0	0	7.8958	1.503689387
0	3	1	19	0	0	14.5	0.793121542
0	3	1	17	8	2	69.55	2.385116087
1	2	0	29	1	0	26	1.459709374
0	3	1	34	1	1	14.4	1.373165886
0	3	0	17	0	0	14.4583	1.838822468
0	3	1	28	0	0	7.8958	1.37355615
1	3	0	0.75	2	1	19.2583	0.92448877
0	3	1	38	0	0	7.05	0.323959493
0	2	1	57	0	0	12.35	2.117078322
0	1	1	37	0	0	42.4	1.615575628
1	3	0	15	1	0	14.4542	0.748425061
1	3	1	3	1	1	15.9	2.012047064
0	3	0	22	0	0	9.8375	1.791877914
0	3	1	23	0	0	7.8958	2.910736995
1	3	0	18	1	0	15.5	1.194640573
1	1	0	62	0	0	80	0.494509653
0	3	1	28	0	0	56.4958	0.213012534
1	1	0	16	0	1	39.4	0.86271716
1	1	0	56	0	1	83.1583	1.199804413
0	3	0	21	1	0	9.825	2.436721136
1	1	0	38	0	0	79.2	1.230519662
0	3	1	20.5	0	0	7.25	0.718745337
1	1	1	47	0	0	30.5	1.264233559
0	3	0	19	1	0	14.4542	1.569026444
0	3	1	33	0	0	8.6542	0.841006012
0	1	1	62	0	0	26.55	1.493748286
0	2	1	30	1	0	24	2.821774054
0	2	0	26	1	1	26	1.31838145
1	3	0	2	1	1	22.3583	1.063689231
0	2	1	28	0	0	10.5	2.69323527
1	2	0	4	1	1	23	0.716114188
0	1	1	24	0	1	247.5208	1.005335484
0	2	1	21	0	0	73.5	2.602743914
0	3	0	9	2	2	34.375	2.171971443
0	2	1	46	0	0	26	1.526613571
1	1	0	30	0	0	86.5	2.325569078
0	1	1	71	0	0	49.5042	1.242360374
1	1	0	36	1	2	120	1.411248051
0	3	1	39	0	0	7.925	0.206842175
0	2	1	23	0	0	13	1.899638623
1	1	0	63	1	0	77.9583	1.732179874
0	3	1	35	1	2	23.45	0.759263336
1	2	1	1	2	1	39	1.478590143
0	3	1	25	0	0	7.225	2.465981409
1	3	0	35	1	1	20.25	0.393025189
0	3	1	45.5	0	0	7.225	2.307855913
1	1	0	33	1	0	90	0.252606315
0	3	1	18	0	0	7.775	0.938857293
0	3	1	47	0	0	7.25	1.776311368
0	3	1	5	3	1	25.4667	2.04035265
1	1	1	27	0	0	76.7292	0.272937284
1	3	0	63	0	0	9.5875	2.78918867
1	3	1	29	0	0	8.1125	2.731624671
0	3	1	32	0	0	7.8958	0.114501889
0	1	1	50	1	0	106.425	2.171157096
1	3	1	24	0	0	7.1417	2.94731214
1	3	1	25	1	0	7.775	0.005654282
1	2	0	25	0	1	26	1.3356574
0	2	1	18	0	0	73.5	1.880654323
0	3	0	23	0	0	7.925	2.704895261
0	3	0	29	0	4	21.075	1.549038827
1	1	0	39	1	1	110.8833	2.160590952
0	2	1	30	0	0	13	1.397928391
1	3	0	28	0	0	7.7375	0.164279842
0	1	1	45	0	0	26.55	2.432574743
0	2	1	18	0	0	11.5	2.595788914
0	3	1	23	0	0	7.8958	2.933404047
0	3	1	38	0	0	7.8958	2.717047873
0	2	1	29	1	0	27.7208	1.918770732
1	3	0	16	0	0	7.75	1.280602075
0	3	1	17	0	0	8.6625	0.292130487
0	2	1	16	0	0	10.5	2.559107335
1	2	1	0.83	1	1	18.75	1.49552285
0	3	1	37	2	0	7.925	2.707547745
0	3	1	18	1	1	7.8542	1.60720486
1	3	0	4	0	2	22.025	1.623403294
0	1	1	21	0	1	77.2875	0.494884122
0	2	1	54	1	0	26	2.032832027
0	3	0	32	1	1	15.5	2.001704424
1	1	0	17	1	0	108.9	1.860730219
1	1	1	48	1	0	76.7292	2.05861321
1	1	1	38	1	0	90	0.579234373
0	3	0	31	1	0	18	1.341980443
0	3	1	48	0	0	7.8542	1.81533123
0	2	1	34	0	0	13	1.69468097
0	3	1	7	4	1	39.6875	1.519088942
1	2	1	3	1	1	18.75	1.70373111
0	3	0	8	8	2	69.55	1.181725252
1	3	1	32	0	0	56.4958	0.898483982
0	1	1	43	0	0	35	1.128067059
1	1	0	24	0	0	49.5042	2.728770788
1	1	0	30	0	0	56.9292	1.604014061
0	3	1	30	0	0	7.8958	0.894083942
1	1	1	37	1	1	52.5542	2.55126901
0	1	1	31	0	0	50.4958	1.362528896
1	1	0	35	1	0	83.475	1.338805944
0	1	1	30	0	0	0	0.517284073
0	3	1	33	0	0	7.8958	0.53312023
1	2	0	34	0	0	10.5	2.59844033
0	2	1	42	0	0	13	0.632764316
1	3	0	34	1	0	16.1	1.09304866
0	3	0	3	3	1	25.4667	2.21736243
0	3	1	22	0	0	7.2292	2.043918868
0	3	1	33	0	0	7.775	0.809337109
0	3	1	49	0	0	0	2.551240566
1	3	0	22	0	0	7.775	2.664631472
0	3	1	18	0	0	7.25	1.829948592
1	1	1	36	0	0	26.2875	0.431518121
1	3	0	26	0	0	7.8542	2.70458905
1	3	0	33	1	0	16.1	0.23790101
1	1	1	50	2	0	133.65	0.573147307
1	2	0	36	0	0	13	2.026531704
1	1	1	36	1	2	120	2.750353387
0	3	1	29	1	0	7.0458	2.081772966
0	2	1	36	0	0	13	1.795254751
0	3	1	21	0	0	7.775	1.505452713
0	3	1	26	1	0	14.4542	2.209865005
0	2	1	39	0	0	26	0.967426668
1	3	0	26	1	0	15.5	1.585041233
1	2	1	62	0	0	10.5	2.899489648
1	1	1	36	0	1	512.3292	2.286730956
1	3	0	14	1	0	11.2417	0.626121197
0	3	0	40	1	0	9.475	0.128777304
0	3	1	26	0	0	8.05	1.206155774
0	3	1	10	3	2	27.9	0.938254266
0	3	0	30.5	0	0	7.75	1.81431711
0	3	1	23	0	0	7.8958	2.745382786
0	1	1	28	0	0	47.1	1.088589469
0	3	1	32	0	0	7.925	0.305873895
0	3	1	21	0	0	7.8	0.883619232
0	3	1	30	0	0	7.225	2.887614889
1	1	0	40	0	0	153.4625	2.973246765
0	1	1	40	0	0	52	0.976327979
0	2	1	34	0	0	13	2.052453615
0	3	0	43	1	6	46.9	0.474160383
1	1	1	28	0	0	35.5	1.401974386
1	2	0	18	0	1	23	2.806756671
0	3	1	30	0	0	7.2292	1.933782081
0	3	1	19	0	0	8.1583	1.130375604
0	3	0	28	0	0	7.8958	1.633554395
1	2	0	22	1	1	29	1.677688923
1	3	0	22	0	0	7.75	0.91679953
0	2	1	27	0	0	13	1.793076674
0	3	0	28	1	1	14.4	1.150337306
1	3	0	24	0	3	19.2583	2.100668845
0	3	1	19	0	0	8.05	1.694511153
1	2	0	40	1	1	39	0.631255041
1	1	0	18	2	2	262.375	0.622884809
1	3	0	30	0	0	12.475	0.622598361
1	1	0	35	1	0	52	2.308489423
0	3	1	25	0	0	7.05	0.861680376
1	1	1	37	0	0	26.55	0.556408405
1	3	1	26	0	0	18.7875	1.346872168
0	3	1	16	2	0	18	1.672151337
0	3	1	42	0	1	8.4042	2.823099409
0	3	1	30	0	0	7.8958	0.131161122
1	1	1	56	0	0	35.5	0.161669263
0	3	1	20	0	0	7.75	2.226523964
0	3	1	39	0	0	7.25	0.379551744
0	1	1	37	0	1	29.7	2.518202075
1	3	0	33	0	0	7.75	0.815879588
0	3	1	34	0	0	8.05	0.534382208
0	2	0	24	0	0	13	2.949063231
0	1	0	2	1	2	151.55	2.549453096
1	2	0	34	1	1	32.5	1.329340577
0	3	0	40	0	2	15.2458	0.637618778
0	1	1	52	1	1	79.65	0.28493307
0	3	1	23	0	0	56.4958	0.394209013
0	3	1	36	1	1	24.15	2.913292354
0	3	1	35	0	0	7.125	2.914223181
1	1	0	60	1	0	75.25	0.484749426
1	3	0	18	0	1	9.35	2.458118731
0	3	1	18	0	0	7.7958	2.410742184
0	3	1	34	0	0	6.4958	0.901055826
0	1	1	65	0	0	26.55	2.518669144
0	3	1	25	1	0	7.775	1.421696216
0	3	1	2	3	1	21.075	2.840048404
0	2	1	36	1	2	27.75	1.609242898
1	3	1	22	0	0	7.225	0.949534163
0	2	1	34	1	0	21	0.661264877
1	3	1	29	0	0	7.75	0.357804671
1	2	0	31	1	1	26.25	1.510643897
0	1	1	37	1	0	53.1	0.381578025
0	3	0	47	1	0	14.5	0.759765576
0	1	1	49	1	1	110.8833	1.812272677
0	3	1	51	0	0	7.0542	1.674994719
0	3	1	39	1	5	31.275	2.647627599
0	3	1	27	1	0	15.5	0.021223621
0	2	1	37	1	0	26	0.901832654
1	3	0	21	0	0	7.75	0.051468251
1	1	1	42	0	0	26.2875	1.621515625
0	3	1	21	0	0	7.25	0.099353195
0	2	1	34	1	0	21	2.293321223
0	2	1	23	0	0	15.0458	1.927813031
0	3	1	16	1	1	20.25	1.338818942
0	3	0	18	0	0	7.775	0.35323436
0	3	1	17	1	1	7.2292	1.459752044
0	3	1	20	0	0	8.05	2.074538325
0	1	1	42	1	0	52	2.343450942
0	1	1	43	0	0	30.6958	1.03971911
0	2	1	52	0	0	13.5	0.012192665
1	3	1	6	0	1	12.475	0.226833701
1	3	1	39	0	0	7.925	2.238916094
1	1	1	80	0	0	30	1.862924801
0	3	1	20	0	0	4.0125	0.804966125
1	1	1	49	1	0	56.9292	1.892907305
0	3	1	66	0	0	8.05	1.406615939
0	2	1	32	2	0	73.5	1.243113841
1	1	0	17	1	0	57	1.45459531
1	2	1	8	1	1	36.75	0.512470876
0	1	1	30	0	0	27.75	0.982567986
0	3	1	35	0	0	7.8958	0.999076475
0	3	0	21	0	0	7.75	0.107302552
1	3	1	31	0	0	7.925	1.418828899
0	3	1	22	0	0	7.5208	1.619319661
0	3	0	18	1	0	17.8	1.506266707
0	3	1	28	0	0	8.05	1.360885988
0	3	1	18	1	1	20.2125	2.446816062
1	1	1	35	0	0	26.55	0.978936932
0	3	1	14	5	2	46.9	2.65259219
0	1	1	57	0	0	26	2.724709762
0	3	0	9	4	2	31.275	1.196124506
1	3	0	18	0	0	9.8417	1.328495227
0	2	1	70	0	0	10.5	2.600571148
0	3	0	21	8	2	69.55	0.442418337
1	3	1	24	2	0	23.25	0.507229814
0	3	1	21	0	0	8.05	0.393809156
0	3	1	32	0	0	8.3625	0.654754065
0	3	1	21	0	0	8.4333	1.457506651
0	1	1	46	0	0	79.2	2.130006718
0	3	1	26	0	0	7.8958	1.252606849
0	1	1	33	0	0	5	2.214917485
0	3	1	25	0	0	7.7417	1.643390704
1	1	1	40	0	0	31	2.401851246
1	1	0	14	1	2	120	1.537396345
0	3	0	10	0	2	24.15	1.707048622
1	2	0	17	0	0	12	2.222900263
1	2	0	40	0	0	15.75	1.338412189
0	3	1	28	0	0	7.8542	2.894183763
0	3	1	24	0	0	9.5	2.143686409
1	1	0	58	0	0	146.5208	0.574836799
0	3	0	48	1	3	34.375	2.997525949
0	3	1	65	0	0	7.75	1.176533334
0	3	1	19	0	0	7.8958	1.929940275
0	3	1	41	2	0	14.1083	2.37049761
0	3	1	9	4	2	31.3875	1.082408739
0	3	1	2	4	1	39.6875	2.559996974
0	3	1	25	1	0	17.8	1.832269755
0	1	1	51	0	1	61.3792	2.718126271
0	3	0	7	1	2	23.45	0.383402145
0	3	1	16	0	0	8.05	2.358825701
0	2	1	26	0	0	10.5	2.361754645
1	3	1	44	0	0	7.925	2.425767483
1	1	0	22	0	1	55	0.558686141
0	3	1	42	0	0	8.6625	1.115603135
1	2	0	32.5	0	0	13	2.105075224
0	3	1	28	0	0	7.75	0.179178409
0	2	1	18	0	0	13	2.941502812
0	3	1	34	0	0	8.05	2.330463086
1	1	0	35	1	0	53.1	1.863308989
0	3	1	30	0	0	7.75	2.268831034
0	3	1	33	0	0	9.5	0.002446415
1	3	0	5	4	2	31.3875	0.435982286
0	3	1	8	4	1	29.125	0.156174603
1	3	0	22	0	0	7.75	2.502728731
1	1	0	39	1	1	83.1583	2.875410475
0	2	1	27	0	0	26	0.685536236
1	2	0	41	0	1	19.5	1.725209973
0	3	1	20	0	0	9.8458	2.469137286
1	3	1	27	0	0	8.6625	1.102644313
1	3	0	5	2	1	19.2583	0.259181803
1	3	1	45	0	0	8.05	1.195097521
0	3	1	33	0	0	8.6625	2.974588337
0	3	1	25	0	0	7.25	1.564134231
1	3	0	27	0	2	11.1333	2.306788543
0	3	0	41	0	5	39.6875	2.646205508
0	1	1	64	0	0	27.7208	0.450640673
1	2	0	36	1	0	26	1.17165826
0	3	1	40	0	0	8.05	2.934725256
0	3	1	22	0	0	7.8958	0.135549748
0	3	1	32	1	0	15.85	2.296742678
1	1	0	54	1	0	78.2667	1.559682014
1	1	1	34	0	0	26.55	0.256650391
1	3	1	4	1	1	11.1333	1.434695566
0	1	1	28	0	0	31	0.020563764
0	1	1	47	0	0	25.5875	1.009243697
0	3	1	30	0	0	8.05	1.783691711
0	3	1	40.5	0	2	14.5	1.599306833
0	3	1	21	0	0	16.1	0.233569409
0	1	0	25	1	2	151.55	2.513198693
1	2	1	34	0	0	13	0.464408356
0	2	1	19	0	0	10.5	0.438439717
0	3	0	39	1	5	31.275	1.598061884
1	2	0	46	0	0	12.35	0.634045927
1	2	0	35	0	0	21	0.27875474
0	3	0	2	0	1	10.4625	1.820360707
0	3	1	74	0	0	7.775	2.210169687
0	2	1	54	0	0	26	0.580108337
0	3	1	20	0	0	8.6625	2.57805308
1	2	0	23	0	0	13.7917	2.777416818
0	3	0	12	3	1	25.4667	1.244165633
1	3	0	15	0	0	7.225	0.431907885
1	2	0	17	0	0	10.5	1.714698292
0	2	1	30	0	0	10.5	0.128714557
0	3	1	69	0	0	14.5	0.83560972
0	3	1	25	0	0	7.8958	2.017383327
0	3	1	19	0	0	10.1708	1.606035424
0	3	0	18	1	0	14.4583	1.54682378
0	3	1	55	0	0	15.1	2.140168894
0	3	1	23	0	0	7.8542	1.179915599
0	2	1	21	0	0	0	1.353541771
0	3	1	22	0	0	7.25	0.457504194
1	2	0	54	1	3	23	2.32495164
0	3	1	20	8	2	69.55	0.598562669
0	3	1	22	0	0	7.8958	2.644991804
0	3	1	16	0	0	9.2167	0.84674407
0	3	1	28	0	0	7.8958	1.439024084
0	3	1	28	1	0	24.15	2.792576376
1	1	0	41	0	0	134.5	0.849049015
0	3	1	40	0	0	7.225	0.972592131
0	1	1	22	0	0	135.6333	2.675741389
0	2	1	27	0	0	13	2.797541879
1	2	0	27	0	0	10.5	0.368613731
0	3	1	26	1	0	7.8542	1.217649439
0	2	1	21	2	0	73.5	0.468184156
0	3	1	25	0	0	7.65	1.558943407
1	2	0	7	0	2	26.25	0.666199045
0	1	1	19	3	2	263	1.207267112
0	2	0	57	0	0	10.5	1.157557446
0	3	0	41	0	2	20.2125	1.160059008
0	3	1	43	0	0	8.05	1.36941923
0	3	0	20	1	0	9.825	0.582525808
0	1	1	36	0	0	40.125	1.464707033
1	1	0	51	1	0	77.9583	1.283353773
1	2	1	42	0	0	13	1.329770275
0	1	1	40	0	0	0	2.985809445
1	2	0	22	1	2	41.5792	0.70399986
0	3	0	28	0	0	8.1375	1.997032954
1	3	0	1	0	2	15.7417	1.980946125
0	3	0	20	0	0	8.6625	1.467133386
0	2	1	31	1	1	26.25	1.298638793
0	3	1	22	0	0	7.7375	0.493529186
0	3	1	49	0	0	7.775	2.157752254
0	3	1	22	1	0	7.75	2.322929167
0	3	1	16	0	0	8.7125	0.873186428
0	2	1	32	0	0	10.5	0.337975772
0	3	1	35	0	0	7.225	2.789553914
0	3	1	42	0	0	7.8958	0.788315148
0	3	0	31	0	0	7.8542	0.630177226
1	3	1	20	1	0	7.925	1.775924777
1	3	0	2	0	1	12.2875	0.098595725
0	3	0	3	3	1	21.075	2.589667137
0	1	1	56	0	0	30.6958	0.817804196
0	2	1	25	0	0	13	0.816215107
1	1	1	25	1	0	91.0792	0.989947337
1	1	0	48	0	0	25.9292	0.475863971
1	3	1	29	0	0	7.775	0.145327098
1	1	1	35	0	0	26.2875	0.62003109
1	1	1	28	0	0	26.55	1.819980303
1	3	0	23	0	0	7.55	2.787410583
1	1	0	58	0	0	26.55	0.697595204
0	3	1	26	0	0	7.775	1.119282902
0	2	1	42	1	0	27	1.048326028
1	2	0	30	0	0	13	2.558722261
0	2	1	30	0	0	13	1.269385219
0	3	0	37	0	0	9.5875	2.905870514
1	3	0	24	0	0	7.8792	0.330667544
0	3	0	11	4	2	31.275	1.643616794
1	1	0	41	1	0	51.8625	2.535927532
1	2	0	34	0	1	23	0.6524569
1	1	0	18	0	2	79.65	1.65915154
1	1	0	30	0	0	93.5	0.267633562
1	3	0	35	0	0	7.2292	0.608444033
1	1	1	48	0	0	26.55	1.818523096
0	3	1	42	0	0	7.8958	1.425669463
1	3	1	26	0	0	56.4958	2.070077304
1	1	1	45	0	0	30	2.366511347
1	1	0	39	1	0	55.9	0.76825438
1	1	1	17	0	2	110.8833	2.964345442
0	3	0	22	0	0	10.5167	0.606256708
0	3	1	20	0	0	9.225	2.635311639
0	2	1	19	0	0	0	0.486810056
1	3	0	22	0	0	7.75	0.804647009
0	3	1	28	1	0	15.85	2.608279765
1	1	0	32	0	0	76.2917	2.128138946
0	3	1	51	0	0	7.75	2.598184191
1	1	0	40	1	1	134.5	1.774938652
0	2	1	60	1	1	39	0.260101364
0	3	1	27	1	0	14.4542	0.334264851
1	2	0	25	1	1	30	1.162734577
0	1	1	31	1	0	52	1.151677544
0	1	1	54	0	1	77.2875	0.947178236
0	1	1	62	0	0	26.55	0.908957885
0	3	1	20	0	0	8.05	1.378509739
0	3	1	23.5	0	0	7.2292	2.751518022
0	3	1	24	0	0	8.05	2.872904998
1	1	0	44	0	0	27.7208	0.739927251
0	2	0	44	1	0	26	1.512652813
0	3	1	27	0	0	8.4583	0.436023805
1	2	0	34	0	0	13	0.14594349
1	2	0	19	0	0	26	0.534887738
1	2	0	8	0	2	26.25	2.887412786
0	3	1	18	0	0	7.2292	0.235679596
0	3	1	19	0	0	6.75	1.358058783
1	2	0	3	1	2	41.5792	1.775548274
1	3	0	24	0	2	16.7	0.902626469
1	1	0	29	0	0	211.3375	2.532934759
0	3	1	44	0	0	8.05	0.901465174
1	1	0	53	2	0	51.4792	2.507742574
1	3	0	19	1	0	7.8542	2.801065814
0	3	1	40	1	4	27.9	2.739097291
0	3	1	28	0	0	9.5	0.081118552
0	3	1	28	2	0	7.925	1.719017168
0	3	0	18	0	1	14.4542	0.74297401
0	3	1	31	0	0	7.75	2.512671948
1	1	0	52	1	1	93.5	2.164506412
1	1	1	0.92	1	2	151.55	2.191007065
1	3	0	36	1	0	17.4	0.433830885
0	3	1	42	0	0	7.55	2.268658519
0	3	1	24	0	0	7.8958	0.559568874
0	3	1	23	0	0	7.8958	2.060453561
1	1	0	31	0	2	164.8667	0.773437276
1	2	0	28	1	0	26	1.079808361
1	3	1	21	0	0	7.7958	2.04969522
0	1	1	70	1	1	71	1.228170835
1	2	0	18	0	2	13	1.206010651
0	2	1	29	0	0	10.5	0.156437708
1	2	0	30	0	0	12.35	2.386982828
1	2	0	28	0	0	13	0.121174707
1	1	0	33	1	0	53.1	1.03162992
1	2	0	13	0	1	19.5	2.863837979
1	1	0	35	0	0	135.6333	2.100472456
1	3	0	18	1	0	15.5	2.698314257
0	2	1	36	0	0	12.875	2.690618399
1	1	0	38	0	0	227.525	0.82933636
0	2	1	19	1	1	36.75	1.752580635
1	1	0	24	0	0	69.3	1.914094791
0	3	1	33	0	0	7.8958	1.571666577
0	3	1	40.5	0	0	7.75	0.462789538
0	3	1	37	1	0	16.1	0.339719225
1	1	0	21	2	2	262.375	2.991646203
0	3	0	6	4	2	31.275	2.421833574
0	3	1	36	0	0	7.8958	0.442261412
0	3	1	20	0	0	7.75	0.442484063
0	3	1	21	0	0	8.05	2.446632234
1	1	0	47	1	1	52.5542	2.286680296
0	2	1	28	0	1	33	1.871716137
1	1	0	40	1	0	89.1042	1.829704305
0	2	1	28	0	0	13.5	1.661828339
0	3	1	32	0	0	7.8958	1.825272238
0	3	1	20	0	0	7.8542	2.161893091
0	3	1	21	0	0	7.8292	2.60241521
0	3	1	34	0	0	8.05	1.508390856
0	3	0	21	2	2	34.375	1.105939345
1	3	0	15	0	0	8.0292	0.806544503
0	1	1	29	1	0	66.6	1.083206775
0	2	1	25	1	0	26	2.295268187
1	2	0	50	0	1	26	0.440789536
0	3	1	16	4	1	39.6875	2.927663827
0	3	1	30	0	0	7.25	0.357139176
0	2	1	24	0	0	10.5	1.374877442
0	3	1	31	0	0	7.775	2.316794762
0	3	1	27	0	0	7.8958	1.21814916
0	1	1	46	1	0	61.175	2.194148731
0	2	1	35	0	0	26	2.674492323
1	1	1	4	0	2	81.8583	0.888911932
0	3	0	45	0	0	7.75	0.186440599
0	3	0	39	0	5	29.125	0.028174138
0	2	1	52	0	0	13	1.538137721
1	1	0	48	1	0	39.6	2.745129626
0	3	1	26	0	0	7.225	1.919020694
1	3	0	28	2	0	23.25	0.727945317
0	3	0	40	0	2	7.75	1.380242195
1	1	1	26	0	0	30	0.08641125
1	1	0	33	0	0	86.5	1.588914735
0	3	1	19	0	0	7.775	2.250462436
1	1	1	29	0	0	29.7	2.706313925
0	1	1	27	0	2	211.5	2.703392838
0	3	0	16	5	2	46.9	2.152500826
1	1	1	46	0	0	35.5	1.626925132
0	1	1	36	1	0	78.85	1.152215399
0	2	1	36	0	0	10.5	1.616962596
0	3	1	33	1	1	20.525	0.419265023
0	2	1	59	0	0	13.5	1.273637491
0	3	1	26	2	0	8.6625	1.763003815
0	1	0	50	0	0	28.7125	0.109235904
0	2	1	35	0	0	10.5	2.562348193
0	3	1	17	0	0	7.75	1.521377237
0	2	1	21	1	0	11.5	0.496106326
1	2	0	30	3	0	21	2.169066378
0	3	1	28	0	0	7.75	1.574093578
0	3	1	30	0	0	8.05	0.338471268
1	3	0	29	0	2	15.2458	0.806053881
1	2	0	14	1	0	30.0708	0.083953474
0	3	1	32	0	0	7.925	2.616198338
0	1	1	46	0	0	39.6	1.392352943
1	3	1	27	0	0	7.7958	0.420000962
1	1	1	27	1	0	53.1	1.761832032
1	2	0	40	0	0	13	0.31809639
0	3	1	15	1	1	7.2292	0.720301645
0	2	1	33	0	0	12.275	2.256845638
0	3	1	19	1	0	19.9667	1.684978192
0	3	1	25	0	0	7.05	1.551448021
0	2	1	18	0	0	11.5	0.223850722
0	3	1	1	5	2	46.9	1.761644558
0	3	1	29	0	0	7.775	1.517464958
0	3	1	28.5	0	0	7.2292	2.318050224
0	1	1	56	0	0	26.55	2.373711537
0	2	1	43	1	1	26.25	1.572423573
1	2	0	24	2	1	27	1.614652341
1	3	0	23	0	0	7.8792	1.357528416
0	3	1	22	1	0	7.25	0.82285924
0	3	1	18	8	2	69.55	0.641071041
1	2	0	36	0	0	13	2.781540689
1	1	0	24	0	0	69.3	1.385594961
0	3	1	43	0	0	6.45	0.15939912
1	2	1	27	0	0	13.8625	1.149802846
0	3	1	20	1	0	15.5	0.725205068
1	3	0	20	0	0	7.75	0.91012218
1	3	0	16	0	0	7.7333	0.790082153
0	3	1	28	0	0	9.5	2.20297538
0	2	1	16	0	0	26	1.618022271
1	1	0	58	0	1	153.4625	2.498744378
1	2	0	27	1	0	13.8583	0.099151724
0	3	1	44	0	0	8.05	0.959044027
1	1	0	30	0	0	106.425	2.408224861
0	3	0	62	0	0	8.05	2.234925375
0	3	1	11	0	0	18.7875	0.391173263
0	2	1	24	0	0	13	2.213511426
1	1	0	42	0	0	110.8833	1.558477135
0	2	1	34	1	0	26	0.643611707
0	1	1	45	1	0	83.475	1.766286652
1	3	0	38	1	5	31.3875	2.680840368
0	3	1	16	0	0	7.775	0.093780193
0	1	1	18	1	0	108.9	1.833835528
1	2	0	42	1	0	26	1.954000755
0	3	1	21	0	0	7.05	0.511835349
0	3	1	29	0	0	8.05	1.374074101
1	1	0	49	1	0	76.7292	1.585775653
0	2	1	31	0	0	10.5	1.098152832
0	3	1	29	0	0	7.225	0.935206833
0	3	1	20	0	0	7.925	2.323536267
0	3	1	16	1	3	34.375	2.81429695
0	3	1	19	0	0	7.8958	1.45617069
0	2	1	48	0	0	13	0.261177285
0	3	1	20	0	0	7.8542	2.539317316
1	1	0	49	0	0	25.9292	0.073434543
1	3	1	29	0	0	9.5	1.477077513
1	3	1	32	0	0	7.8542	1.96716788
